epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,5575.26,0.41024,0.26197,0.83643,0.97559,0.95747,0.99013,0.94014,0.3477,0.22478,0.80986,0.001882,0.001882,0.001882
84,5698.17,0.40679,0.25662,0.83619,0.97266,0.95747,0.98968,0.94057,0.34935,0.22331,0.81155,0.001783,0.001783,0.001783
85,5786.1,0.40367,0.25427,0.83419,0.97153,0.96115,0.99007,0.94045,0.34692,0.22403,0.81043,0.001684,0.001684,0.001684
86,5890.49,0.40122,0.25555,0.8342,0.97634,0.96264,0.98983,0.9408,0.34562,0.22314,0.81006,0.001585,0.001585,0.001585
87,5988.28,0.40148,0.25049,0.83331,0.97614,0.96387,0.99002,0.94134,0.34725,0.22362,0.80996,0.001486,0.001486,0.001486
88,6081.51,0.39418,0.2486,0.83279,0.97386,0.96352,0.99102,0.94206,0.34526,0.22165,0.80958,0.001387,0.001387,0.001387
89,6192.08,0.39238,0.2422,0.83105,0.97861,0.95977,0.99071,0.94158,0.34536,0.22167,0.80905,0.001288,0.001288,0.001288
90,6303.01,0.39513,0.24676,0.832,0.97868,0.96034,0.99105,0.9416,0.34641,0.22144,0.80978,0.001189,0.001189,0.001189
91,6452.32,0.3542,0.21629,0.80755,0.97606,0.96063,0.99037,0.93995,0.34758,0.22123,0.80996,0.00109,0.00109,0.00109
92,6557.31,0.34627,0.20972,0.80754,0.97599,0.96264,0.99051,0.94149,0.34657,0.22172,0.80926,0.000991,0.000991,0.000991
93,6661.76,0.34294,0.20859,0.80572,0.98041,0.95575,0.99031,0.94188,0.34446,0.22064,0.80881,0.000892,0.000892,0.000892
94,6760.2,0.34199,0.20468,0.80604,0.97429,0.96207,0.99005,0.94242,0.34366,0.21901,0.80828,0.000793,0.000793,0.000793
95,6847.5,0.33628,0.203,0.80413,0.97502,0.96449,0.99035,0.94295,0.34388,0.21724,0.80829,0.000694,0.000694,0.000694
96,6943.77,0.32873,0.19596,0.8004,0.97639,0.96379,0.99075,0.9437,0.34367,0.21717,0.80844,0.000595,0.000595,0.000595
97,7039.46,0.32956,0.1962,0.80419,0.97693,0.96379,0.9907,0.94409,0.34375,0.21785,0.80806,0.000496,0.000496,0.000496
98,7129.89,0.3252,0.19409,0.80238,0.97503,0.96486,0.99081,0.94459,0.34264,0.21818,0.80764,0.000397,0.000397,0.000397
99,7183.86,0.32513,0.19423,0.8036,0.97578,0.96437,0.99045,0.94428,0.34151,0.21718,0.80729,0.000298,0.000298,0.000298
100,7237.44,0.32039,0.18952,0.80184,0.97614,0.96389,0.99047,0.94457,0.34134,0.21702,0.80724,0.000199,0.000199,0.000199
